scrape_id,last_scraped,host_since,neighbourhood,price
20200000000000.0,1/2/15,7/19/11,Fort Greene,$133.00 
20200000000000.0,1/2/15,2/6/12,Greenpoint,$169.00 
20200000000000.0,1/2/15,10/7/10,Crown Heights,$50.00 
20200000000000.0,1/2/15,10/7/12,Greenpoint,$142.00 
20200000000000.0,1/3/15,9/4/13,Williamsburg,$85.00 
20200000000000.0,1/3/15,3/11/13,Harlem,$125.00 
20200000000000.0,1/2/15,6/14/11,Midtown East,$175.00 
20200000000000.0,1/2/15,5/24/12,Williamsburg,$85.00 
20200000000000.0,1/3/15,9/15/12,Upper West Side,$140.00 
20200000000000.0,1/2/15,11/19/13,Harlem,$195.00 
20200000000000.0,1/3/15,2/26/12,Longwood,$120.00 
20200000000000.0,1/3/15,12/16/14,Bay Ridge,$99.00 
20200000000000.0,1/2/15,11/7/12,Williamsburg,$100.00 
20200000000000.0,1/2/15,3/23/13,Bushwick,$85.00 
20200000000000.0,1/2/15,7/11/11,Crown Heights,$40.00 
20200000000000.0,1/2/15,5/7/13,Williamsburg,$110.00 
20200000000000.0,1/3/15,5/30/11,Harlem,$117.00 
20200000000000.0,1/2/15,1/11/14,Boerum Hill,$145.00 
20200000000000.0,1/2/15,4/15/13,Bedford-Stuyvesant,$75.00 
20200000000000.0,1/2/15,7/17/12,Murray Hill,$445.00 
20200000000000.0,1/2/15,6/2/11,Upper East Side,$99.00 
20200000000000.0,1/3/15,12/15/11,Lower East Side,$150.00 
20200000000000.0,1/3/15,5/15/14,Brighton Beach,$149.00 
20200000000000.0,1/2/15,12/1/09,Harlem,$85.00 
20200000000000.0,1/3/15,7/17/13,Washington Heights,$90.00 
20200000000000.0,1/3/15,7/23/12,Park Slope,$110.00 
20200000000000.0,1/2/15,4/27/13,Park Slope,$70.00 
20200000000000.0,1/2/15,11/10/14,Long Island City,$80.00 
20200000000000.0,1/3/15,11/2/14,Bushwick,$86.00 
20200000000000.0,1/2/15,5/14/11,DUMBO,$189.00 
20200000000000.0,1/2/15,3/15/12,Fort Greene,$280.00 
20200000000000.0,1/2/15,12/20/14,Gowanus,$39.00 
20200000000000.0,1/3/15,2/27/12,Rego Park,$65.00 
20200000000000.0,1/3/15,5/28/14,Chelsea,$230.00 
20200000000000.0,1/2/15,5/17/12,Gowanus,$70.00 
20200000000000.0,1/2/15,5/20/12,Alphabet City,$120.00 
20200000000000.0,1/3/15,9/21/10,Lower East Side,$155.00 
20200000000000.0,1/2/15,6/18/13,Upper West Side,$220.00 
20200000000000.0,1/2/15,9/4/12,Flatlands,$84.00 
20200000000000.0,1/2/15,12/29/12,Hell's Kitchen,$199.00 
20200000000000.0,1/2/15,12/3/13,Bedford-Stuyvesant,$110.00 
20200000000000.0,1/3/15,7/21/12,Bedford-Stuyvesant,$199.00 
20200000000000.0,1/3/15,11/6/14,Kips Bay,$125.00 
20200000000000.0,1/3/15,11/3/11,Harlem,$100.00 
20200000000000.0,1/3/15,11/1/11,East New York,$45.00 
20200000000000.0,1/3/15,7/11/12,Soho,$199.00 
20200000000000.0,1/2/15,10/26/11,Boerum Hill,$150.00 
20200000000000.0,1/2/15,4/26/14,Bushwick,$50.00 
20200000000000.0,1/2/15,11/21/11,East Harlem,$200.00 
20200000000000.0,1/2/15,6/21/14,East Village,$88.00 
20200000000000.0,1/3/15,3/31/14,West Village,$160.00 
20200000000000.0,1/2/15,5/7/12,Park Slope,$85.00 
20200000000000.0,1/3/15,5/10/11,Bedford-Stuyvesant,$70.00 
20200000000000.0,1/3/15,2/1/12,Tribeca,$170.00 
20200000000000.0,1/3/15,12/11/09,Hell's Kitchen,$108.00 
20200000000000.0,1/2/15,8/22/13,West Village,$295.00 
20200000000000.0,1/1/15,4/2/13,Chelsea,$320.00 
20200000000000.0,1/3/15,7/8/13,Washington Heights,$125.00 
20200000000000.0,1/2/15,2/21/12,Astoria,$99.00 
20200000000000.0,1/3/15,4/1/12,Williamsburg,$55.00 
20200000000000.0,1/3/15,8/8/10,Upper East Side,$550.00 
20200000000000.0,1/2/15,12/15/09,Chelsea,$98.00 
20200000000000.0,1/1/15,11/15/14,Kingsbridge,$50.00 
20200000000000.0,1/2/15,6/25/14,Chelsea,$150.00 
20200000000000.0,1/2/15,1/18/14,Harlem,"$1,200.00 "
20200000000000.0,1/2/15,9/27/11,West Village,$189.00 
20200000000000.0,1/2/15,12/20/13,Hell's Kitchen,$120.00 
20200000000000.0,1/2/15,6/15/12,West Village,$250.00 
20200000000000.0,1/2/15,11/8/13,Kips Bay,$175.00 
20200000000000.0,1/2/15,11/6/11,Alphabet City,$65.00 
20200000000000.0,1/2/15,11/5/13,Crown Heights,$250.00 
20200000000000.0,1/2/15,8/28/11,Chinatown,$95.00 
20200000000000.0,1/2/15,12/1/09,Chelsea,$165.00 
20200000000000.0,1/2/15,12/11/14,Astoria,$105.00 
20200000000000.0,1/2/15,4/25/12,Bedford-Stuyvesant,$120.00 
20200000000000.0,1/2/15,8/20/08,Alphabet City,$270.00 
20200000000000.0,1/3/15,6/30/14,Bushwick,$285.00 
20200000000000.0,1/2/15,4/1/14,Lower East Side,$175.00 
20200000000000.0,1/2/15,7/15/12,Chelsea,$219.00 
20200000000000.0,1/3/15,11/15/13,Midwood,$33.00 
20200000000000.0,1/3/15,11/15/13,Midwood,$33.00 
20200000000000.0,1/2/15,7/28/14,Alphabet City,$97.00 
20200000000000.0,1/2/15,5/26/12,East Village,$349.00 
20200000000000.0,1/2/15,1/30/14,Williamsburg,"$1,400.00 "
20200000000000.0,1/2/15,11/8/14,Carroll Gardens,$50.00 
20200000000000.0,1/2/15,9/20/14,Wakefield,$195.00 
20200000000000.0,1/2/15,1/21/14,Kips Bay,$800.00 
20200000000000.0,1/2/15,1/30/14,Alphabet City,$175.00 
20200000000000.0,1/2/15,1/30/14,Hell's Kitchen,"$1,000.00 "
20200000000000.0,1/2/15,7/13/14,Williamsburg,$450.00 
20200000000000.0,1/2/15,8/18/13,Greenpoint,$83.00 
20200000000000.0,1/3/15,5/19/13,Downtown Brooklyn,$200.00 
20200000000000.0,1/3/15,6/23/13,Soho,$220.00 
20200000000000.0,1/3/15,12/22/12,Soho,$275.00 
20200000000000.0,1/3/15,10/9/11,Jackson Heights,$79.00 
20200000000000.0,1/2/15,11/15/12,Lower East Side,$96.00 
20200000000000.0,1/2/15,5/18/12,Hell's Kitchen,$250.00 
20200000000000.0,1/2/15,8/30/11,Bushwick,$70.00 
20200000000000.0,1/3/15,3/12/14,Midtown East,$159.00 
20200000000000.0,1/3/15,7/30/13,East Harlem,$45.00 
20200000000000.0,1/3/15,11/20/11,Kips Bay,$199.00 
20200000000000.0,1/3/15,10/26/11,Bushwick,$220.00 
20200000000000.0,1/2/15,2/20/13,Kips Bay,$157.00 
20200000000000.0,1/2/15,2/15/14,Astoria,$149.00 
20200000000000.0,1/2/15,10/30/13,Flatiron District,$850.00 
20200000000000.0,1/3/15,10/18/11,Crown Heights,$197.00 
20200000000000.0,1/3/15,7/27/10,East Village,$159.00 
20200000000000.0,1/2/15,6/29/14,East Village,$169.00 
20200000000000.0,1/2/15,1/8/12,Williamsburg,$225.00 
20200000000000.0,1/2/15,11/18/14,Sunnyside,$58.00 
20200000000000.0,1/2/15,4/5/14,Bushwick,$55.00 
20200000000000.0,1/2/15,4/13/11,Long Island City,$120.00 
20200000000000.0,1/2/15,7/12/14,Astoria,$110.00 
20200000000000.0,1/2/15,5/22/11,Alphabet City,$89.00 
20200000000000.0,1/2/15,8/4/14,Astoria,$68.00 
20200000000000.0,1/3/15,2/27/12,Williamsburg,$100.00 
20200000000000.0,1/2/15,11/19/12,West Brighton,$47.00 
20200000000000.0,1/2/15,4/17/12,Astoria,$85.00 
20200000000000.0,1/2/15,11/7/12,Hell's Kitchen,$175.00 
20200000000000.0,1/2/15,7/20/13,Park Slope,$135.00 
20200000000000.0,1/3/15,7/24/10,Williamsburg,$100.00 
20200000000000.0,1/2/15,12/21/10,West Village,$149.00 
20200000000000.0,1/3/15,10/24/12,Bedford-Stuyvesant,$100.00 
20200000000000.0,1/2/15,11/15/14,Midtown East,$999.00 
20200000000000.0,1/2/15,8/21/12,Red Hook,$95.00 
20200000000000.0,1/2/15,6/17/12,Harlem,$89.00 
20200000000000.0,1/2/15,5/12/14,Chelsea,$350.00 
20200000000000.0,1/3/15,1/19/13,Williamsburg,$175.00 
20200000000000.0,1/3/15,1/8/12,Flatbush,$135.00 
20200000000000.0,1/2/15,11/13/13,Williamsburg,$95.00 
20200000000000.0,1/3/15,3/4/12,Upper West Side,$120.00 
20200000000000.0,1/2/15,7/15/14,Chelsea,$895.00 
20200000000000.0,1/2/15,9/23/13,Park Slope,$165.00 
20200000000000.0,1/3/15,1/7/13,Bedford-Stuyvesant,$139.00 
20200000000000.0,1/2/15,5/7/12,Alphabet City,$120.00 
20200000000000.0,1/2/15,6/10/13,Kips Bay,$159.00 
20200000000000.0,1/2/15,6/14/12,Carroll Gardens,$94.00 
20200000000000.0,1/2/15,3/27/13,Alphabet City,$299.00 
20200000000000.0,1/2/15,12/2/14,Hamilton Heights,$65.00 
20200000000000.0,1/2/15,2/6/12,Williamsburg,$180.00 
20200000000000.0,1/2/15,7/4/13,Murray Hill,$220.00 
20200000000000.0,1/2/15,4/17/12,Astoria,$70.00 
20200000000000.0,1/3/15,9/11/12,Upper East Side,$250.00 
20200000000000.0,1/2/15,10/24/10,Williamsburg,$139.00 
20200000000000.0,1/2/15,6/12/13,Ditmars / Steinway,$55.00 
20200000000000.0,1/2/15,10/19/10,Park Slope,$159.00 
20200000000000.0,1/3/15,10/31/12,Williamsburg,$75.00 
20200000000000.0,1/2/15,2/12/14,Little Italy,$175.00 
20200000000000.0,1/2/15,1/6/13,Jackson Heights,$85.00 
20200000000000.0,1/3/15,10/4/12,Upper West Side,$85.00 
20200000000000.0,1/2/15,11/15/13,Flatbush,$33.00 
20200000000000.0,1/2/15,8/7/14,Midwood,$70.00 
20200000000000.0,1/2/15,7/14/11,Williamsburg,$85.00 
20200000000000.0,1/3/15,5/11/13,Bushwick,$175.00 
20200000000000.0,1/2/15,11/28/13,Murray Hill,$225.00 
20200000000000.0,1/2/15,5/31/11,Williamsburg,$225.00 
20200000000000.0,1/3/15,12/3/13,Washington Heights,$40.00 
20200000000000.0,1/2/15,6/17/14,Upper East Side,"$1,250.00 "
20200000000000.0,1/3/15,8/8/12,Hudson Square,$150.00 
20200000000000.0,1/2/15,4/18/13,Upper East Side,$95.00 
20200000000000.0,1/2/15,9/12/11,Flatiron District,$495.00 
20200000000000.0,1/3/15,6/17/11,Washington Heights,$69.00 
20200000000000.0,1/2/15,2/5/11,Bedford-Stuyvesant,$250.00 
20200000000000.0,1/3/15,3/6/13,Financial District,$150.00 
20200000000000.0,1/2/15,7/29/11,Crown Heights,$60.00 
20200000000000.0,1/2/15,10/9/11,Park Slope,$200.00 
20200000000000.0,1/2/15,8/15/13,Washington Heights,$70.00 
20200000000000.0,1/3/15,7/8/13,Bushwick,$50.00 
20200000000000.0,1/2/15,6/9/13,Crown Heights,$50.00 
20200000000000.0,1/3/15,9/6/13,Washington Heights,$120.00 
20200000000000.0,1/3/15,7/18/10,Midtown,$150.00 
20200000000000.0,1/2/15,12/21/14,Bushwick,$95.00 
20200000000000.0,1/2/15,4/21/14,Crown Heights,$110.00 
20200000000000.0,1/2/15,10/14/12,Union Square,$250.00 
20200000000000.0,1/3/15,4/18/14,Gramercy Park,$180.00 
20200000000000.0,1/3/15,7/28/13,Hudson Square,$275.00 
20200000000000.0,1/2/15,10/21/11,Williamsburg,$55.00 
20200000000000.0,1/2/15,9/29/14,Crown Heights,$40.00 
20200000000000.0,1/3/15,3/13/13,Williamsburg,$50.00 
20200000000000.0,1/2/15,11/21/13,Upper East Side,$129.00 
20200000000000.0,1/2/15,12/29/12,Upper West Side,$85.00 
20200000000000.0,1/2/15,3/27/13,Kensington,$120.00 
20200000000000.0,1/3/15,8/25/12,Ditmars / Steinway,$55.00 
20200000000000.0,1/2/15,4/20/09,Red Hook,$225.00 
20200000000000.0,1/2/15,9/25/14,Kips Bay,$200.00 
20200000000000.0,1/2/15,10/12/12,Brooklyn Navy Yard,$100.00 
20200000000000.0,1/3/15,5/16/14,Bushwick,$65.00 
20200000000000.0,1/2/15,1/19/12,Soho,$150.00 
20200000000000.0,1/3/15,12/11/12,East Village,$89.00 
